route,viewport_state,width,height,reduced_motion,status,reason
index.html,mobile-portrait,390,844,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
index.html,mobile-landscape,844,390,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
index.html,tablet,1024,768,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
index.html,desktop,1440,900,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
index.html,wide-desktop,1920,1080,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
index.html,reduced-motion,1440,900,True,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
login.html,mobile-portrait,390,844,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
login.html,mobile-landscape,844,390,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
login.html,tablet,1024,768,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
login.html,desktop,1440,900,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
login.html,wide-desktop,1920,1080,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
login.html,reduced-motion,1440,900,True,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
register.html,mobile-portrait,390,844,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
register.html,mobile-landscape,844,390,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
register.html,tablet,1024,768,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
register.html,desktop,1440,900,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
register.html,wide-desktop,1920,1080,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
register.html,reduced-motion,1440,900,True,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
market.html,mobile-portrait,390,844,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
market.html,mobile-landscape,844,390,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
market.html,tablet,1024,768,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
market.html,desktop,1440,900,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
market.html,wide-desktop,1920,1080,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
market.html,reduced-motion,1440,900,True,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
profile.html,mobile-portrait,390,844,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
profile.html,mobile-landscape,844,390,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
profile.html,tablet,1024,768,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
profile.html,desktop,1440,900,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
profile.html,wide-desktop,1920,1080,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
profile.html,reduced-motion,1440,900,True,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
broker-hq.html,mobile-portrait,390,844,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
broker-hq.html,mobile-landscape,844,390,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
broker-hq.html,tablet,1024,768,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
broker-hq.html,desktop,1440,900,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
broker-hq.html,wide-desktop,1920,1080,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
broker-hq.html,reduced-motion,1440,900,True,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
admin.html,mobile-portrait,390,844,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
admin.html,mobile-landscape,844,390,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
admin.html,tablet,1024,768,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
admin.html,desktop,1440,900,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
admin.html,wide-desktop,1920,1080,False,BLOCKED_BY_EXECUTION_ENVIRONMENT,Chromium returns ERR_BLOCKED_BY_ADMINISTRATOR for local http:// and file:// URLs in this sandbox.
