id,name,level,area,min_x,min_y,max_x,max_y
room-b782b02d-4ff3-45dc-af27-f2d63241bf17,Bathroom,2nd floor,59599.751991184574,5107.830864040103,-26.743775819953044,5328.718394040103,301.73205418004693
room-8827c14a-c022-4d56-af87-13c17c63234a,Garage,1st floor,148060.2051184061,5954.830864040103,9.486922180046946,6248.2560640401025,514.182374180047
room-26c168c0-6605-4c50-9f6d-52960ec6f184,Bedrom #3,2nd floor,90021.69423115213,5644.027564040103,-26.743775819953044,5928.830864040103,323.00356418004696
room-67c8e765-f65f-4a1f-844a-6fb298aa3d72,Bedroom #1,2nd floor,106187.83079056547,5519.080864040103,245.52499418004697,5928.830864040103,549.756224180047
room-ad6fe449-b3fa-4f15-968e-df704d0177fd,Bedroom #2,2nd floor,97447.31116055744,5107.830864040103,305.61872418004697,5511.830864040103,549.756224180047
room-857f2dcd-e10c-4914-bcc2-6f90198cdfb4,,2nd floor,10274.611376947374,5217.628814040103,209.29388418004692,5328.768394040103,302.09515418004696
room-cb653607-5fd1-48ab-a0da-b4f960d3dcd0,Attic,Attic,445606.08566468983,5107.830864040103,-26.743775819953044,5928.830864040103,549.756224180047
room-bb173adc-2bce-4d81-a5c7-78f7fccb437f,Kitchen,1st floor,204806.15362979725,5107.830864040103,-26.743775819953044,5511.847134040103,549.7653841800469
room-3e5e5680-c98b-41df-bfa3-af4ff6cb9e44,Living Room,1st floor,249139.89431742975,5419.033164040103,-26.743775819953044,5928.830864040103,553.514154180047
room-10c9a782-d624-4ff8-a57c-a9e7d57944e3,,2nd floor,73791.95849843993,5328.718374040103,-26.29370281995304,5644.077634040103,306.11877418004696
room-0a1ad566-5f81-45cd-bb67-9f6eb4500a6f,,1st floor,10636.023655818659,5418.589684040103,-26.743775819953044,5511.847134040103,87.32810418004695
room-76793eb2-7e23-4c58-bf1b-7b69874e8fed,Kitchen,1st floor,224065.04089165994,2800.6812096176254,-25.143777819953044,3389.5062276176254,359.71255418004694
room-c2c4647b-7c30-4db6-b549-4bc6c2a8fb38,,1st floor,184105.20231119322,2800.6812396176256,375.262544180047,3130.681227617625,933.2889241800469
room-4d9459c1-0143-4d9d-a353-3a8beb959a78,Office,1st floor,287027.7364962803,3699.7055976176252,454.34115418004694,4171.481227617625,1069.753224180047
room-c7481146-baa3-4706-b8ca-85c6bb7d1201,Terrace,1st floor,418484.41562853055,2774.6812246176255,959.0218241800469,4197.168527617625,1299.0945241800468
room-6530c4e3-46ae-4540-8450-058d3e106505,,1st floor,354405.1716190043,3394.778467617625,-25.165536819953047,4083.2839276176255,933.022464180047
room-66035ea2-1de4-44b8-8ef2-0242ef84887d,,1st floor,22047.12592035212,3869.9214276176253,179.81544418004697,4075.7168276176253,287.05920418004695
room-ced5384e-1aa3-4c9e-9b11-8d6121d3d3fc,,1st floor,103981.65796161868,3677.4138276176254,-51.403565819953045,4197.519027617625,153.98724418004696
room-99f984e8-2050-422a-a6da-40fd6226fbdd,,1st floor,285804.8036955476,3104.7032776176256,959.0878241800469,4101.481227617625,1299.0945241800468
room-158b9d7d-c9b2-4942-9746-4f62dc161be4,Living room,1st floor,473669.0244920418,2800.6813006176253,375.262544180047,3684.1117276176255,933.025394180047
room-77fa9dd9-7174-4e1c-9dda-79ef068a1462,Hall,1st floor,238543.3591039629,3389.5062276176254,-25.165536819953047,4171.481027617625,454.341184180047
room-699e0b87-0a34-4208-8905-9b3bb84e868a,Terrace,2nd floor,172025.39536343305,2800.6812396176256,385.28112418004696,3114.7069976176253,933.087764180047
room-6f505a63-50ca-4435-9766-a62e54e958c1,,2nd floor,34939.12178325467,3202.9596476176257,161.79045418004696,3381.4812276176253,359.25622418004696
room-2e5dd7d2-836f-400e-b40e-bf54d5882dd0,,2nd floor,406791.6166934794,3130.7032776176256,-25.08190081995304,4171.481227617625,1274.156224180047
room-d459f24e-bbca-48ff-ad88-c50674e50e39,,2nd floor,580982.4783785535,3130.6811776176255,-25.08190081995304,4171.481227617625,1274.156324180047
room-6f79bf57-f4f5-4c84-933d-a5e7ca5d26b5,Bedroom #2,2nd floor,259079.0759130473,3554.5312776176256,165.57043418004696,4075.4375276176256,666.8168941800469
room-58f3c3ca-277f-41ed-831a-e1426d8b60e0,Roof,2nd floor,44047.21682500071,4101.481227617625,624.381224180047,4197.481227617625,1083.257224180047
room-6863208d-813d-43d1-abc8-57a25ee05cbc,Balcony,2nd floor,13826.759309064131,4101.437527617625,468.2562541800469,4194.4687276176255,616.881224180047
room-fcd2b52d-f1f1-497b-88d7-31252f85894d,Dressing,2nd floor,23709.2613566895,3559.5312776176256,1079.525024180047,3683.3262276176256,1274.1560241800469
room-9e32eabd-ac27-4042-939e-b7d3eca9f4ae,Bedroom #1,2nd floor,133929.0005831523,3555.7562276176254,965.973084180047,4075.4812276176253,1274.150124180047
room-844b8e87-2277-4b87-a70c-3b1a37705ebb,Bathroom,2nd floor,126206.66269775946,3555.7562276176254,674.3168941800469,4075.4806276176255,958.4730241800469
room-c8146434-9569-4080-8d3a-350d81aef4e9,,2nd floor,18933.720258035464,3555.7562276176254,852.0068241800469,3734.1305776176255,958.473084180047
room-10a152bd-27fe-44ea-9b99-46cc26fa6ee8,Bedroom #3,2nd floor,186576.0518241535,2800.6812396176256,-24.768830819953045,3381.4812876176256,359.48110418004694
room-df7d6b84-9466-46a6-8046-ca274bb057b0,Roof,Attic,1540429.8409572137,2774.6811786176254,-50.768799819953045,4197.481227617625,1300.150024180047
