group_id,sha256,path
DUP-001,7dc0b14b77ab70baecbcba5d7383747a31d2b23df89c14cc5308b0edd8edd0c1,active_development/data/house-camera-rig.json
DUP-001,7dc0b14b77ab70baecbcba5d7383747a31d2b23df89c14cc5308b0edd8edd0c1,docs/json/reconciliation/data__house-camera-rig.json
DUP-002,5e02d080b77e029f9c9c3ba33aa496eefa24f18a59229fe6bb82bdca757b44aa,active_development/data/house-ui-map.json
DUP-002,5e02d080b77e029f9c9c3ba33aa496eefa24f18a59229fe6bb82bdca757b44aa,docs/json/reconciliation/data__house-ui-map.json
DUP-003,9abf6dd157fcb050ac46a23c27d374bb67def65978068682e1b65c1b16f64c39,active_development/data/house-ui-ux-code-reality-map.json
DUP-003,9abf6dd157fcb050ac46a23c27d374bb67def65978068682e1b65c1b16f64c39,docs/json/reconciliation/data__house-ui-ux-code-reality-map.json
DUP-004,fe33492af62c495841a26bf1420507b071a93806ebc9627f20dfcf1d9e5ec7e0,active_development/data/ui-response-mapping.json
DUP-004,fe33492af62c495841a26bf1420507b071a93806ebc9627f20dfcf1d9e5ec7e0,docs/json/reconciliation/data__ui-response-mapping.json
DUP-005,dddfd46d6010cec98192516b568c324bd0cc8641504e63a62721cb2b23b0f340,active_development/firebase/functions/contracts/kyc-authorization.json
DUP-005,dddfd46d6010cec98192516b568c324bd0cc8641504e63a62721cb2b23b0f340,active_development/supabase/functions/_shared/kyc-authorization.json
DUP-006,4068c63613779c5648bd624f9037d2efbf41df0caf9ba0a9bf35dbd1c9364158,active_development/tests/cinematic-3d-adapter.test.mjs
DUP-006,4068c63613779c5648bd624f9037d2efbf41df0caf9ba0a9bf35dbd1c9364158,docs/archive/dead-or-superseded/cinematic-3d-adapter.from-verify.test.mjs
DUP-007,8922a7ed2f8d6b4452422df62342730f3e6eea702a6755da97d6fde06c953a25,docs/json/archive/walkmyplan/camera-registry.json
DUP-007,8922a7ed2f8d6b4452422df62342730f3e6eea702a6755da97d6fde06c953a25,docs/json/reconciliation/cinematic__WalkMyPlan__data__camera-registry.json
DUP-008,ff09635fa9d13112798fbe8502d623158e5a03d2c444a0b2345fd80e99bc69d7,docs/json/archive/walkmyplan/physical-ui-object-registry.json
DUP-008,ff09635fa9d13112798fbe8502d623158e5a03d2c444a0b2345fd80e99bc69d7,docs/json/reconciliation/cinematic__WalkMyPlan__data__physical-ui-object-registry.json
DUP-009,44abd96f6d7ee42708d600b15876d931ad676eaf0f2ba3f7a2756578b6b09857,docs/json/archive/walkmyplan/room-shell-registry.json
DUP-009,44abd96f6d7ee42708d600b15876d931ad676eaf0f2ba3f7a2756578b6b09857,docs/json/reconciliation/cinematic__WalkMyPlan__data__room-shell-registry.json
DUP-010,fe1f428b3a50ecdb1c7418533e8c837b01cdb89d17128b83c5df2c8527b77708,docs/json/archive/walkmyplan/room-zone-registry.json
DUP-010,fe1f428b3a50ecdb1c7418533e8c837b01cdb89d17128b83c5df2c8527b77708,docs/json/reconciliation/cinematic__WalkMyPlan__data__room-zone-registry.json
DUP-011,40f84b8ce733db15fffa644d2f9522c0c14c3716f6421ef9398b9d5b24585302,docs/json/archive/walkmyplan/section-camera-choreography.json
DUP-011,40f84b8ce733db15fffa644d2f9522c0c14c3716f6421ef9398b9d5b24585302,docs/json/reconciliation/cinematic__WalkMyPlan__data__section-camera-choreography.json
DUP-012,dfb3f97f37716ab61f421ad27bf71e7a764d27833d694a622a0daef516f0ccd5,docs/json/archive/walkmyplan/spatial-reconciliation.json
DUP-012,dfb3f97f37716ab61f421ad27bf71e7a764d27833d694a622a0daef516f0ccd5,docs/json/reconciliation/cinematic__WalkMyPlan__data__spatial-reconciliation.json
