historical_target,reference_count,referencing_files
docs/md/checkpoint-policy.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/package-readme-archive.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive-log.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/5.5c-v4-patch57-cinematic-test-path-reconciliation.md,2,masterplan.md; active_development/CHECKPOINT_MANIFEST.json
docs/md/5.5c-v3-historical-contract-reconciliation.md,3,AI_ASSISTANT_READ_ME.md; masterplan.md; active_development/CHECKPOINT_MANIFEST.json
docs/md/cloudflare/archive/production-checklist.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/cloudflare/archive/patch-paypal-cloudflare-hardening.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/working-notes/checkpoint-structure.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/verification/readme.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/verification/00-archive-and-evidence-policy.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/verification/37-main-hall-visual-tuning-review.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/working-notes/third-party-notices-full.md,2,docs/md/working-notes/third-party-notices.md; active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/evidence/2026-08-23-support-ticket-and-role-dive.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/evidence/2026-08-23-user-authority-data-graph.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/evidence/2026-08-23-attacker-capability-inventory.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/evidence/2026-08-23-firestore-ticket-notification-graph.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/evidence/2026-08-23-input-upload-hardening.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/evidence/2026-08-23-registration-suspension-hardening.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/evidence/2026-08-23-authority-audit.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/walkmyplan-pdf/A4.4C3.5_Physical_UI_Object_Printable.pdf,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/walkmyplan-pdf/A4.4C3.4_Hero_Composition_Printable.pdf,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/walkmyplan-pdf/A4.4C3.3_Camera_Door_Graph_Printable.pdf,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/working-notes-spatial/market-profile-physical-ui-propagation.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/working-notes-spatial/physical-ui-objects.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/working-notes-spatial/auth-physical-ui-propagation.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/working-notes-spatial/animation-camera-door-contract.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/working-notes-spatial/main-hall-physical-ui-contract.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/working-notes-spatial/spatial-reconciliation.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/working-notes-spatial/main-hall-camera-object-contract.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/working-notes-spatial/main-hall-camera-tuning-phase13.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/working-notes-spatial/master-camera-contract.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/archive/readme.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/archive/09-sweethome3d-sot.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/archive/10-sweethome3d-model-census.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/archive/04-data-backend-authority.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/archive/17-verification-testing.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/archive/03-product-routes-roles.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/archive/01-source-of-truth.md,2,docs/md/active-suite-failure-classification-2026-08-26.md; active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/archive/36-phase8-integration-audit.md,1,active_development/CHECKPOINT_MANIFEST.json
docs/md/archive/archive/18-roadmap.md,1,active_development/CHECKPOINT_MANIFEST.json
